section,symbol_type,symbol,size_bytes,vma,runtime_region,lma,load_region
.text,FUNC,tmos_snv_read,572,0x00003398,?,0x00003398,?
.text,FUNC,gattGetPayload,78,0x00005A2A,?,0x00005A2A,?
.text,FUNC,ATT_ReadRsp,48,0x00003DA8,?,0x00003DA8,?
.text,FUNC,LL_CoreGetCore,22,0x0000C27C,?,0x0000C27C,?
.text,FUNC,RFEND_TXCtune,3152,0x0000E804,?,0x0000E804,?
.text,FUNC,l2capParseCmdReject,66,0x000081D2,?,0x000081D2,?
.text,FUNC,smProcessTMOSMsg,302,0x000093F2,?,0x000093F2,?
.text,FUNC,GATT_bm_alloc,240,0x00005C06,?,0x00005C06,?
.text,FUNC,__smakebuf_r,120,0x00014318,?,0x00014318,?
.text,FUNC,ATT_ParseWriteReq,46,0x00003E9C,?,0x00003E9C,?
.text,FUNC,GAPBondMgr_UpdateCharCfg,124,0x00010E12,?,0x00010E12,?
.text,FUNC,MPU6050_Init,122,0x00001E80,?,0x00001E80,?
.text,FUNC,strlen,16,0x000137D8,?,0x000137D8,?
.highcode,FUNC,LLE_IRQFIOFHandler,6,0x20000B86,?,0x00000B8A,?
.text,FUNC,_printf_i,588,0x00013DA4,?,0x00013DA4,?
.text,FUNC,linkDB_GetHandleFromSMEvtID,44,0x00008D8A,?,0x00008D8A,?
.text,FUNC,RTC_InitTime,520,0x00001818,?,0x00001818,?
.bss,OBJECT,__malloc_sbrk_start,4,0x200013D8,?,-,-
.text,FUNC,LL_ConnectRxPktnumIncrease,42,0x0000BA3E,?,0x0000BA3E,?
.text,FUNC,smpBuildMasterID,60,0x00009AE6,?,0x00009AE6,?
.text,FUNC,GATT_VerifyWritePermissions,118,0x00006D38,?,0x00006D38,?
.text,FUNC,ATT_BuildHandleValueInd,20,0x00003BB2,?,0x00003BB2,?
.text,FUNC,GATT_FindHandle,70,0x000065EC,?,0x000065EC,?
.text,FUNC,LL_ConnectFreeTmosPrioritID,194,0x0000BB64,?,0x0000BB64,?
.text,FUNC,UART_BaudRateCfg,44,0x00001B82,?,0x00001B82,?
.text,FUNC,GAP_SetAdvertisingRspData,188,0x000056F2,?,0x000056F2,?
.text,FUNC,GAP_SendSlaveSecurityRequest,70,0x00004D50,?,0x00004D50,?
.text,FUNC,generate_subkey,216,0x0000A4D6,?,0x0000A4D6,?
.highcode,FUNC,FLASH_ROM_END,14,0x20000C6A,?,0x00000C6E,?
.text,FUNC,tmos_msg_receive,152,0x0000286C,?,0x0000286C,?
.text,FUNC,gapSendPhyUpdateEvent,72,0x000047E0,?,0x000047E0,?
.text,FUNC,linkDB_Authen,96,0x000089D2,?,0x000089D2,?
.text,FUNC,LL_CoreOpen,90,0x0000C356,?,0x0000C356,?
.text,FUNC,LL_ClearWhiteList,38,0x0000F8B6,?,0x0000F8B6,?
.text,FUNC,TMOS_TimerRegister,26,0x00002E8E,?,0x00002E8E,?
.text,FUNC,sendAuthEvent,290,0x00004498,?,0x00004498,?
.bss,OBJECT,__malloc_free_list,4,0x200013DC,?,-,-
.text,FUNC,tmos_start_callback_task,182,0x00002CCC,?,0x00002CCC,?
.text,FUNC,LL_AdvGetCore,24,0x0000B596,?,0x0000B596,?
.text,FUNC,smpBuildPairingConfirm,48,0x00009A56,?,0x00009A56,?
.text,FUNC,_vfprintf_r,572,0x00013A60,?,0x00013A60,?
.text,FUNC,AES_DevPktEnc,98,0x0000E3F2,?,0x0000E3F2,?
.bss,OBJECT,pfnHandle,4,0x20001350,?,-,-
.text,FUNC,LL_ConnectFlowcontrolRx,32,0x0000B9F4,?,0x0000B9F4,?
.text,FUNC,GATT_ServiceNumAttrs,22,0x0000634E,?,0x0000634E,?
.text,FUNC,TMOS_TimerInit,204,0x0000322A,?,0x0000322A,?
.text,FUNC,LL_ConnectTxPktnumIncrease,42,0x0000BA14,?,0x0000BA14,?
.text,FUNC,sm_CMAC,386,0x0000A7F2,?,0x0000A7F2,?
.text,FUNC,ATT_ExchangeMTURsp,30,0x00003BDC,?,0x00003BDC,?
.text,FUNC,GAP_GetParamValue,28,0x000049E8,?,0x000049E8,?
